"type","size","time","status"
"qwrite","3","20.013","false"
"qwrite","3","20.006","false"
"qwrite","3","20.006","false"
"qwrite","3","20.004","false"
"qwrite","3","20.004","false"
"qwrite","3","20.011","false"
"qwrite","3","20.012","false"
"qwrite","3","20.027","false"
"qwrite","3","20.007","false"
"qwrite","3","20.005","false"
"qwrite","3","20.006","false"
"qwrite","3","20.004","false"
"qwrite","3","20.008","false"
"qwrite","3","20.012","false"
"qwrite","3","20.01","false"
"qwrite","3","20.008","false"
"qwrite","3","20.023","false"
"qwrite","3","20.007","false"
"qwrite","3","20.015","false"
"qwrite","3","20.011","false"
"qwrite","3","20.016","false"
"qwrite","3","20.008","false"
"qwrite","3","20.006","false"
"qwrite","3","20.007","false"
"qwrite","3","20.006","false"
"qwrite","3","20.006","false"
"qwrite","3","20.005","false"
"qwrite","3","20.005","false"
"qwrite","3","20.005","false"
"qwrite","3","20.003","false"
"qwrite","3","20.009","false"
"qwrite","3","20.006","false"
"qwrite","3","20.005","false"
"qwrite","3","20.005","false"
"qwrite","3","20.008","false"
"qwrite","3","20.003","false"
"qwrite","3","20.014","false"
"qwrite","3","20.004","false"
"qwrite","3","20.008","false"
"qwrite","3","20.011","false"
"qwrite","3","20.006","false"
"qwrite","3","20.003","false"
"qwrite","3","20.005","false"
"qwrite","3","20.004","false"
"qwrite","3","20.014","false"
"qwrite","3","20.005","false"
"qwrite","3","20.004","false"
"qwrite","3","20.004","false"
"qwrite","3","20.004","false"
"qwrite","3","20.009","false"
"qwrite","3","20.004","false"
"qwrite","3","20.012","false"
"qwrite","3","20.004","false"
"qwrite","3","20.004","false"
"qwrite","3","20.004","false"
"qwrite","3","20.006","false"
"qwrite","3","20.004","false"
"qwrite","3","20.006","false"
"qwrite","3","20.019","false"
"qwrite","3","20.008","false"
"qwrite","3","20.014","false"
"qwrite","3","20.01","false"
"qwrite","3","20.015","false"
"qwrite","3","20.007","false"
"qwrite","3","20.018","false"
"qwrite","3","20.007","false"
"qwrite","3","20.021","false"
"qwrite","3","20.011","false"
"qwrite","3","20.005","false"
"qwrite","3","20.005","false"
"qwrite","3","20.012","false"
"qwrite","3","20.004","false"
"qwrite","3","20.004","false"
"qwrite","3","20.006","false"
"qwrite","3","20.004","false"
"qwrite","3","20.004","false"
"qwrite","3","20.003","false"
"qwrite","3","20.003","false"
"qwrite","3","20.009","false"
"qwrite","3","20.014","false"
"qwrite","3","20.011","false"
"qwrite","3","20.016","false"
"qwrite","3","20.01","false"
"qwrite","3","20.007","false"
"qwrite","3","20.007","false"
"qwrite","3","20.004","false"
"qwrite","3","20.006","false"
"qwrite","3","20.005","false"
"qwrite","3","20.004","false"
"qwrite","3","20.005","false"
"qwrite","3","20.006","false"
"qwrite","3","20.004","false"
"qwrite","3","20.006","false"
"qread","1","0.129","true"
"qread","1","0.007","true"
"qread","1","0.004","true"
"qread","1","0.01","true"
"qread","1","0.007","true"
"qread","1","0.008","true"
"qread","1","0.015","true"
"qread","1","0.007","true"
"qread","1","0.003","true"
"qread","1","0.008","true"
"qread","1","0.002","true"
"qread","1","0.018","true"
"qread","1","0.005","true"
"qread","1","0.004","true"
"qread","1","0.003","true"
"qread","1","0.005","true"
"qread","1","0.003","true"
"qread","1","0.037","true"
"qread","1","0.002","true"
"qread","1","0.008","true"
"qread","1","0.008","true"
"qread","1","0.007","true"
"qread","1","0.004","true"
"qread","1","0.062","true"
"qread","1","0.004","true"
"qread","1","0.005","true"
"qread","1","0.005","true"
"qread","1","0.004","true"
"qread","1","0.002","true"
"qread","1","0.029","true"
"qread","1","0.002","true"
"qread","1","0.003","true"
"qread","1","0.003","true"
"qread","1","0.002","true"
"qread","1","0.003","true"
"qread","1","0.003","true"
"qread","1","0.004","true"
"qread","1","0.002","true"
"qread","1","0.002","true"
"qread","1","0.03","true"
"qread","1","0.003","true"
"qread","1","0.003","true"
"qread","1","0.003","true"
"qread","1","0.002","true"
"qread","1","0.002","true"
"qread","1","1.884","true"
"qread","1","0.004","true"
"qread","1","0.004","true"
"qread","1","0.004","true"
"qread","1","0.007","true"
"qread","1","0.009","true"
"qread","1","3.082","true"
"qread","1","0.031","true"
"qread","1","0.02","true"
"qread","1","0.015","true"
"qread","1","0.013","true"
"qread","1","0.012","true"
"qread","1","2.668","true"
"qread","1","0.028","true"
"qread","1","0.004","true"
"qread","1","0.008","true"
"qread","1","0.013","true"
"qread","1","0.017","true"
"qread","1","2.66","true"
"qread","1","0.007","true"
"qread","1","0.003","true"
"qread","1","0.007","true"
"qread","1","0.009","true"
"qread","1","0.007","true"
"qread","1","0.124","true"
"qread","1","0.004","true"
"qread","1","0.006","true"
"qread","1","0.005","true"
"qread","1","0.006","true"
"qread","1","0.003","true"
"qread","1","0.018","true"
"qread","1","0.007","true"
"qread","1","0.006","true"
"qread","1","0.005","true"
"qread","1","0.008","true"
"qread","1","0.007","true"
"qread","1","0.007","true"
"qread","1","0.003","true"
"qread","1","0.006","true"
"qread","1","0.008","true"
"qread","1","0.023","true"
"qread","1","0.007","true"
"qread","1","0.057","true"
"qread","1","0.004","true"
"qread","1","0.005","true"
"qread","1","0.004","true"
"qread","1","0.003","true"
"qread","1","0.003","true"
"qread","1","0.025","true"
"qread","1","0.004","true"
"qread","1","0.005","true"
"qread","1","0.005","true"
"qread","1","0.006","true"
"qread","1","0.006","true"
"qread","1","0.025","true"
